,,,,,,
ELS/SpEd Request for Body of Evidence for Exceptional Learners (Click this link),,,,,,
"ELS/SpEd Hub 
(You will need to be logged into your CCSD account to access links)",,,,,,
,,,,,,
Curriculum & Instruction,Collecting a Culturally Responsive Body of Evidence,Cultural/Linguistic Norms and Expectations,Culturally Responsive Instruction/Intervention,ELS Programming,Assessment Planning Resources,Speech-Language Resources
,,,,,,
Best Practices for MLs,Speech-Language Checklist for Multilingual Learners,Interpretation and Translation Services,Intervention Analysis,ELS/SpEd Reclassification Guidelines,Developing a Culturally Relevant Ax Battery to Determine Eligibility for MLs,Dynamic Ax Protocol & Manual (Scroll to bottom for Protocol)
,,,,,,
MultiCSD- Topics in Multilingualism and Multiculturalism,Parent Questionnaires,SL Differences Spanish/Eng,High Leverage Principles,WIDA 2020 Standards Framework,SL Assessment Components and Report Writing,Phonetic Inventory Spanish/English
,,,,,,
"Supporting Newcomer 
Emergent Bilinguals",SLAM Elicitation Resources,Early Milestones - Multilingual Learner,CEIP,Co-Teacher Guidebook,Dynamic Assessment,Assessing Narratives from Diverse Cultural Linguistic Groups
,,,,,,
,Narrative Language Resources,Linguistic and Cultural Differences Resources,Equity for MLs,Proficiency Level Descriptors,Cultural Parameters & Assessment,Speech-Language ML Presentation
,,,,,,
,TPBA Play Based Language Sampling,Parent Resources on Bilingualism,,,The Power of Informal Assessment Ppt,Culturally Responsive Assessments & IEP Development in ECE
,,,,,,
,Frog Stories Mercer Mayer,World Language Library,,,,Secondary Students- SALT Expository & Persuasion
,,,,,,
,CUBED Dynamic Assessment,Myth Vs. Fact About ML Learners,,,,Dynamic Assessment of Narratives - Quick Reference
,,,,,,
,CDE Family Interview MLs,,,,,
,,,,,,
,CDE Family Interview MLs Spanish,,,,,
,,,,,,
,Building a Linguistic Profile For Ax of MLs,,,,,
,,,,,,
Under Construction,Under Construction,Under Construction,Under Construction,Under Construction,Under Construction,Under Construction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 